id,image_id,title,artist_title,department_title,category_titles,classification_titles,subject_titles,date_display,place_of_origin
111174,93d95655-0b4e-b5b4-36b5-5fe8f84d5549,Nubian Woman,Jules Robert Auguste,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,european painting",,1825/30,France
142516,a3516d51-4809-b4dc-41e6-d2a76de0f8c5,Prince Visiting an Ascetic during a Hunt,,Arts of Asia,Arts of Asia,"painting,asian art",,1625/50,India
51450,7eeb9d38-a1f4-47b4-b335-654fdd20b1bb,Pavilion of Eight Poems,Chen Chun,Arts of Asia,Arts of Asia,"handscroll,painting,asian art",,"Ming dynasty (1368–1644), 1538",China
256795,1dae4ac9-d33c-56e4-06d5-985b6be3898c,"Venus, Cupid and Ceres",Cornelis Cornelisz.,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"painting,oil on canvas","mythological figures,fruit,cupids,women",1604,Netherlands
149966,4adb181f-854b-bbcc-48ef-1382d51670bb,Boy of Hallett Family with Lamb,Artist unknown,Arts of the Americas,Arts of the Americas,"painting,american arts",children,1766/76,United States
12032,97d81945-a05e-2a05-a78d-73678bbd2d55,Kasuga Deer Mandala,Mandara Shika,Arts of Asia,Arts of Asia,"painting,asian art",,15th century,Japan
6831,da3e9da7-09ed-412c-16b0-8ceedd38571f,Saint John the Baptist in the Wilderness,Diego Velázquez,Painting and Sculpture of Europe,Painting and Sculpture of Europe,"oil on canvas,painting,european painting",,ca. 1622,Seville
52293,05a04f09-89b6-5894-4a04-95614d87fb5f,"Manuchehr Kills Tur, Manuscript from Shahnama",,Arts of Asia,Arts of Asia,"miniature painting,painting,asian art",,"Safavid dynasty (1501–1722), 16th century, dated 1580/1590",Shiraz
22191,d312bfce-3a61-223e-1591-903fc0f64e42,Claudine Resting,Jules Pascin,Modern Art,Modern Art,"painting,modern and contemporary art","Century of Progress,world's fairs,Chicago World's Fairs,portraits,women",1923,United States
62275,7c42d99b-2284-8106-afc4-ebc5874aaa60,Flowers and Lamp,Milton Avery,,,"painting,modern and contemporary art",,1942,United States
